"jar","resource","target","placement_type","spacing","separation","salt","exclusion_zone"
"1.21.1.jar","data/minecraft/worldgen/structure_set/ocean_monuments.json","minecraft:monument","minecraft:random_spread","32","5","10387313",""
"create_structures_arise-176.49.48 NeoForge 1.21.1.jar","data/create_structures_arise/worldgen/structure_set/pillager_boat.json","create_structures_arise:pillager_boat","minecraft:random_spread","150","70","1421414140",""
"DungeonsArise-1.21.1-2.1.68-release.jar","data/dungeons_arise/worldgen/structure_set/major_structures.json","dungeons_arise:illager_corsair","minecraft:random_spread","50","45","88371663",""
"DungeonsArise-1.21.1-2.1.68-release.jar","data/dungeons_arise/worldgen/structure_set/major_structures.json","dungeons_arise:illager_galley","minecraft:random_spread","50","45","88371663",""
"DungeonsArise-1.21.1-2.1.68-release.jar","data/dungeons_arise/worldgen/structure_set/major_structures.json","dungeons_arise:typhon","minecraft:random_spread","50","45","88371663",""
"DungeonsArise-1.21.1-2.1.68-release.jar","data/dungeons_arise/worldgen/structure_set/major_structures.json","dungeons_arise:undead_pirate_ship","minecraft:random_spread","50","45","88371663",""
"DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:corsair_corvette","minecraft:random_spread","68","60","98123789",""
"DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:pirate_junk","minecraft:random_spread","68","60","98123789",""
"DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:small_yacht","minecraft:random_spread","68","60","98123789",""
"DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:unicorn_galleon","minecraft:random_spread","68","60","98123789",""
"DungeonsAriseSevenSeas-1.21.x-1.0.4-neoforge.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:victory_frigate","minecraft:random_spread","68","60","98123789",""
"ISS-1.21.1.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:corsair_corvette","minecraft:random_spread","58","50","98123789",""
"ISS-1.21.1.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:pirate_junk","minecraft:random_spread","58","50","98123789",""
"ISS-1.21.1.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:small_yacht","minecraft:random_spread","58","50","98123789",""
"ISS-1.21.1.jar","data/dungeons_arise_seven_seas/worldgen/structure_set/minor_structures.json","dungeons_arise_seven_seas:unicorn_galleon","minecraft:random_spread","58","50","98123789",""
